country,year,size_predicted_lower,size_predicted_median,size_predicted_upper,scenario,area_to_burn.1,area_to_burn.2,area_to_burn.3,area_to_burn.4,area_to_burn.5,model
Spain,2041,3893.305989,47236.07161,732583.4302,SSP1-2.6,172834.306,532705.306,487342.306,578724.306,68666.306,MPI-ESM1-2-LR
Sweden,2041,57.41930755,556.2083619,6968.560393,SSP1-2.6,5008.419,3029.419,2512.419,3793.419,939.419,MPI-ESM1-2-LR
Germany,2042,22.49615158,279.7976195,4238.602445,SSP1-2.6,1573.496,4233.496,2977.496,2299.496,2157.496,MPI-ESM1-2-LR
Spain,2042,3966.089305,45763.24356,772000.9723,SSP1-2.6,764830.089,705301.089,369628.089,570922.089,404477.089,MPI-ESM1-2-LR
Sweden,2042,54.41732639,567.9845213,6741.215572,SSP1-2.6,1083.417,5362.417,1679.417,710.417,2242.417,MPI-ESM1-2-LR
Germany,2043,16.61315315,227.6534374,3809.515571,SSP1-2.6,2942.613,3202.613,3609.613,3452.613,2498.613,MPI-ESM1-2-LR
Spain,2043,3986.676647,46652.80418,656170.6792,SSP1-2.6,568058.677,516706.677,371821.677,532264.677,362996.677,MPI-ESM1-2-LR
Sweden,2043,51.43808651,452.4325425,6010.823488,SSP1-2.6,4035.438,5617.438,2299.438,4428.438,3295.438,MPI-ESM1-2-LR
Germany,2044,16.63473674,221.4747002,3854.594178,SSP1-2.6,3302.635,3200.635,3757.635,2617.635,1118.635,MPI-ESM1-2-LR
Spain,2044,4599.748662,56111.24894,808509.9477,SSP1-2.6,752803.749,460721.749,114223.749,688212.749,126385.749,MPI-ESM1-2-LR
Sweden,2044,48.63928294,483.8829822,5910.14438,SSP1-2.6,3578.639,2441.639,5523.639,1778.639,539.639,MPI-ESM1-2-LR
Germany,2045,18.08493585,222.2776403,3866.026442,SSP1-2.6,2722.085,3131.085,48.085,1445.085,1747.085,MPI-ESM1-2-LR
Spain,2045,4268.495912,51897.5314,733683.0308,SSP1-2.6,148724.496,83620.496,544560.496,510204.496,73921.496,MPI-ESM1-2-LR
Sweden,2045,53.57468799,501.7437683,6228.308255,SSP1-2.6,5220.575,5700.575,177.575,1616.575,4628.575,MPI-ESM1-2-LR
Germany,2046,18.87947816,244.0457436,4192.497691,SSP1-2.6,1269.879,470.879,79.879,1090.879,3256.879,MPI-ESM1-2-LR
Spain,2046,4143.21925,51850.70316,837817.917,SSP1-2.6,396045.219,240221.219,279555.219,92918.219,419710.219,MPI-ESM1-2-LR
Sweden,2046,85.51735942,764.7864092,9960.091998,SSP1-2.6,2051.517,1083.517,6374.517,4769.517,7628.517,MPI-ESM1-2-LR
Germany,2047,24.0999658,322.0898833,4629.495496,SSP1-2.6,3055.1,401.1,2848.1,3220.1,4269.1,MPI-ESM1-2-LR
Spain,2047,4274.822506,54950.84002,799378.6586,SSP1-2.6,536984.823,498837.823,694642.823,329190.823,659172.823,MPI-ESM1-2-LR
Sweden,2047,89.69327615,779.336149,9615.092285,SSP1-2.6,5520.693,1961.693,1280.693,3624.693,6456.693,MPI-ESM1-2-LR
Germany,2048,24.52591733,320.4394487,5098.441015,SSP1-2.6,1088.526,3277.526,1212.526,4287.526,645.526,MPI-ESM1-2-LR
Spain,2048,4602.774618,54456.2624,919548.7018,SSP1-2.6,506920.775,759412.775,231658.775,836763.775,242798.775,MPI-ESM1-2-LR
Sweden,2048,86.38332103,800.6371705,8819.357547,SSP1-2.6,5684.383,8535.383,128.383,3645.383,8108.383,MPI-ESM1-2-LR
Germany,2049,26.61660594,321.8847084,4797.40686,SSP1-2.6,1910.617,4364.617,4556.617,4408.617,1173.617,MPI-ESM1-2-LR
Spain,2049,4605.303085,53879.72859,880927.8964,SSP1-2.6,757496.303,548613.303,394141.303,813514.303,45743.303,MPI-ESM1-2-LR
Sweden,2049,71.3748339,600.8825668,6833.341118,SSP1-2.6,6319.375,3827.375,4181.375,474.375,3351.375,MPI-ESM1-2-LR
Germany,2050,16.29697564,231.7808207,3717.88053,SSP1-2.6,2641.297,2461.297,973.297,1585.297,510.297,MPI-ESM1-2-LR
Spain,2050,4063.812706,51098.10448,758527.5029,SSP1-2.6,722642.813,425614.813,613466.813,610369.813,550196.813,MPI-ESM1-2-LR
Sweden,2050,43.68773924,420.4685985,5878.75806,SSP1-2.6,4151.688,4174.688,1913.688,3312.688,1634.688,MPI-ESM1-2-LR
Germany,2051,17.08208359,211.5222788,3227.082808,SSP1-2.6,2177.082,546.082,2594.082,1262.082,18.082,MPI-ESM1-2-LR
Spain,2051,4473.332775,49708.26325,697536.9645,SSP1-2.6,434404.333,125418.333,302104.333,654625.333,251051.333,MPI-ESM1-2-LR
